0121;A154;150;0.45
0121;B006;150;0.95
0121;B111;25;2.25
0121;B396;50;1.65
0121;E098;50;1.9
0121;G202;25;6.35
0174;A421;50;1.35
0174;B148;25;0.65
0174;B331;25;0.7
0174;C274;25;0.65
0175;A004;50;0.75
0175;A075;250;0.25
0175;A103;400;0.2
0175;A184;50;0.45
0175;A385;100;0.4
0175;A421;50;0.8
0175;B148;50;0.45
0175;B331;10;0.45
0175;B337;100;0.7
0175;C274;25;0.45
0175;D225;25;0.35
0181;044;10;3.6
0181;045;5;7.2
0181;099;20;6.05
0181;114;3;9.45
0181;116;25;15.45
0184;E-003;200;1.2
0186;162;100;0.65
0186;281;100;3.25
0186;471;25;1.3
0190;001-2;100;1.15
0190;103-2;100;1
0190;118-V;200;1.15
0190;209-V;25;1.6
0190;255-1;200;0.35
0190;263-V;50;1.65
0190;281-2;25;0.55
0190;393-V;20;1.45
0191;A101;100;1.1
0191;A103;1000;0.1
0191;A154;100;0.5
0191;A472;250;0.6
0191;B101;50;0.4
0191;B111;50;2.15
0191;B396;50;1.5
0191;B578;10;11.7
0191;C051;10;7.55
0191;D029;15;6
0191;D296;10;7.55
0191;D742;25;2.95
0191;E098;50;1.8
0191;G001;25;1.2
0191;G430;30;2.75
0191;H510;40;1.75
0192;ST1P1;100;1.65
0192;ST2P1;25;1.35
0192;ST3P2;24;5.05
0192;ST4P5;12;0.9
0197;ST1P9;50;3.75
0197;ST2P1;25;1.45
0197;ST2P6;50;2.3
0197;ST3P1;36;4.85
0197;ST4P1;48;8.95
0197;ST4P5;24;1
0200;A004;25;1.25
0200;A184;25;0.65
0200;B148;25;0.7
0200;B331;10;0.7
0201;A004;25;1.25
0201;A184;25;0.7
0201;A385;25;0.7
0201;A421;50;1.45
0201;B148;25;0.7
0201;B331;25;0.75
0201;C274;25;0.75
0201;D225;50;0.55
0202;162-V;75;1.35
0202;201-V;25;2.4
0202;255-1;150;0.4
0202;327-1;150;0.5
0202;408-V;100;2.05
0202;498-1;100;0.4
0203;ALTH;25;1.15
0203;CENT;50;1.15
0203;CYNO;50;1.4
0203;GYPS;25;2.65
0203;KNIP;50;2.05
0203;LUPI;200;1.4
0204;ALTH;50;1
0204;BEGO;50;0.35
0204;CAMP;150;1.55
0204;CHEI;50;0.95
0204;DELP;100;1.5
