0121;013;1999-01-17 00:00:00;1999-01-31 00:00:00;590.45
0174;004;1999-02-25 00:00:00;1999-03-04 00:00:00;117.5
0175;004;1999-02-27 00:00:00;1999-03-06 00:00:00;395.51
0181;009;1999-03-06 00:00:00;1999-03-27 00:00:00;577.22
0184;022;1999-03-06 00:00:00;1999-03-16 00:00:00;240
0186;020;1999-03-11 00:00:00;1999-03-18 00:00:00;414.05
0190;014;1999-03-13 00:00:00;1999-03-23 00:00:00;659.84
0191;013;1999-03-13 00:00:00;1999-03-27 00:00:00;1211.41
0192;035;1999-03-13 00:00:00;1999-03-23 00:00:00;317.52
0197;035;1999-03-14 00:00:00;1999-03-23 00:00:00;928.27
0200;004;1999-03-14 00:00:00;1999-03-21 00:00:00;72
0201;004;1999-03-26 00:00:00;1999-04-02 00:00:00;221.25
0202;014;1999-03-26 00:00:00;1999-04-05 00:00:00;530.43
0203;019;1999-04-01 00:00:00;1999-04-15 00:00:00;556.6
0204;034;1999-04-01 00:00:00;1999-04-15 00:00:00;492.53
