004;A004;036;7;1.1
004;A075;426;7;0.35
004;A103;157;7;0.3
004;A184;478;7;0.6
004;A385;095;7;0.6
004;A421;455;7;1.2
004;B148;380;7;0.6
004;B331;102;7;0.6
004;B337;074;7;1.1
004;C274;470;7;0.6
004;D225;434;7;0.5
009;002;498;21;2.95
009;011;420;21;9.9
009;013;195;21;6.55
009;014;104;21;7.9
009;021;364;21;2.25
009;023;408;21;10.15
009;024;103;21;7.9
009;029;117;21;2.5
009;044;257;21;3.4
009;045;397;21;6.75
009;050;001;21;8.8
009;064;393;21;4.3
009;078;286;21;10.15
009;081;178;21;3.4
009;085;471;21;4.5
009;091;027;21;7.9
009;097;210;21;0.2
009;099;362;21;5.65
009;103;066;21;6.1
009;114;209;21;8.8
009;115;281;21;5.65
009;116;263;21;14.4
009;145;162;21;4.3
011;E01R;335;21;2.9
011;E05R;365;10;0.8
011;E11X;327;10;1.05
011;E23W;255;10;1.05
011;H09;408;14;11.95
011;H10R;001;14;10.35
011;H14R;397;14;7.95
011;H14W;195;14;7.7
011;H17;117;14;2.9
011;H19O;103;14;9.3
011;H75P;012;14;10.35
011;H99G;263;14;16.95
013;A002;067;10;1.45
013;A101;036;7;1.15
013;A103;184;7;0.1
013;A154;314;7;0.5
013;A230;372;10;1.65
013;A395;082;10;2.3
013;A472;383;7;0.65
013;A520;391;10;1.3
013;A677;437;10;1.3
013;B006;365;14;1
013;B024;393;14;6.2
013;B101;123;7;0.4
013;B111;422;10;2.3
013;B396;311;10;1.65
013;B578;001;14;12.7
013;C051;281;14;8.15
013;C119;262;14;6.2
013;C243;200;14;11.4
013;D029;471;14;6.5
013;D296;362;14;8.15
013;D321;056;10;1.65
013;D555;047;14;12.7
013;D742;364;14;3.25
013;E098;087;10;1.95
013;E409;228;10;1.3
013;F342;300;10;6.2
013;F823;332;10;1.65
013;G001;071;10;1.3
013;G202;031;14;6.5
013;G430;312;10;2.95
013;H510;316;10;1.95
014;001-2;455;10;1.15
014;012-V;212;10;1.7
014;027-V;372;10;1.45
014;067-V;384;10;2
014;082-V;297;10;1.15
014;103-2;023;10;1.05
014;117-V;013;10;1.7
014;118-V;467;10;1.15
014;162-V;228;10;1.15
014;195-1;478;10;0.55
014;201-V;390;10;2
014;209-V;068;10;1.7
014;255-1;050;10;0.35
014;257-V;164;10;1.45
014;263-V;054;10;1.7
014;264-V;351;10;1.45
014;273-2;398;10;0.55
014;281-2;102;10;0.55
014;286-V;087;10;1.7
014;300-V;071;10;1.15
014;327-1;147;10;0.45
014;335-V;438;10;1.7
014;362-V;311;10;1.45
014;365-V;157;10;0.3
014;393-V;056;10;1.45
014;397-V;363;10;2.55
014;400-2;380;10;0.55
014;408-V;316;10;1.7
014;471-2;035;10;0.55
014;498-1;123;10;0.35
019;ACMO;082;14;2.1
019;ACON;175;14;1.8
019;ALSC;425;14;1.2
019;ALTH;061;14;1.2
019;CAMP;087;14;1.8
019;CENT;080;14;1.2
019;CHRY;164;14;1.5
019;CYNO;056;14;1.5
019;DELP;212;14;1.8
019;DIAN;438;14;1.8
019;ERYN;013;14;1.8
019;EUPH;372;14;1.5
019;GEUM;316;14;1.8
019;GYPS;363;14;2.7
019;HELI;467;14;1.2
019;KNIP;486;14;2.1
019;LAMI;071;14;1.2
019;LUPI;089;14;1.5
019;MATR;234;14;1.8
019;PAEO;078;14;2.7
019;POTE;067;14;1.35
019;ROSM;207;14;1.2
020;001;470;7;0.65
020;047;361;7;0.65
020;066;253;7;0.1
020;103;036;7;1.15
020;162;468;7;0.5
020;195;184;7;0.1
020;209;123;7;0.4
020;210;434;7;0.5
020;257;266;7;0.65
020;263;169;7;0.05
020;281;126;7;2.45
020;362;383;7;0.65
020;393;147;7;0.5
020;471;143;7;1
020;498;314;7;0.5
021;AZA;103;10;8.75
021;BRE;364;10;2.5
021;FOR;108;10;2.75
021;HUL;408;10;11.25
021;KOR;117;10;2.75
021;LIG;210;10;0.2
021;MAG;195;10;7.25
021;OLI;471;10;5
021;PEP;397;10;7.5
021;ROD;001;10;9.75
021;SER;012;10;9.75
021;TOV;263;10;16
021;VUU;019;10;2.5
021;ZUU;242;10;1.75
022;B-003;393;14;5.15
022;B-011;286;14;12.15
022;B-034;281;14;6.75
022;B-076;039;14;2.45
022;B-104;028;14;22.95
022;E-002;335;10;2.95
022;E-003;365;10;0.8
022;S-015;210;14;0.2
022;S-077;471;14;5.4
022;S-118;103;14;9.45
022;S-154;364;14;2.7
034;ACMO;082;14;2.15
034;ALTH;061;14;1.25
034;ANCE;462;14;1.25
034;ANEM;390;14;2.15
034;ANGR;224;14;1.25
034;ANTI;468;14;0.5
034;AQUI;153;14;1.55
034;ARDR;105;14;1.25
034;BEGO;123;14;0.4
034;CAMP;087;14;1.85
034;CHEI;074;14;1.1
034;CHMA;164;14;1.55
034;CORT;300;14;5.9
034;CYNO;398;14;0.6
034;DELP;212;14;1.85
034;ECHI;024;14;1.85
034;ERYN;013;14;1.85
034;HEDE;427;14;4.65
034;LUPI;089;14;1.55
034;OCBA;120;14;1.25
034;PAPA;285;14;3.1
034;PARH;380;14;0.6
034;PHLO;143;14;0.95
034;PRIM;455;14;1.25
034;RUSC;319;14;1.25
034;SALV;391;14;1.25
034;TAGE;050;14;0.35
034;TULI;469;14;0.25
034;VIOL;157;14;0.3
034;VITI;031;14;6.2
034;WIST;253;14;0.05
035;ST1P1;089;10;1.65
035;ST1P3;311;10;1.65
035;ST1P4;130;10;1.3
035;ST1P6;061;10;1.3
035;ST1P8;428;10;2.95
035;ST1P9;285;10;3.3
035;ST2P1;467;10;1.3
035;ST2P2;054;10;2
035;ST2P3;082;10;2.3
035;ST2P5;205;10;2.95
035;ST2P6;068;10;2
035;ST3P1;180;10;4.3
035;ST3P2;427;10;4.95
035;ST3P5;296;10;1.3
035;ST4P1;320;10;7.9
035;ST4P2;283;10;3.3
035;ST4P5;190;10;0.85
035;ST4P6;042;10;3.3
